259183,53500,,
251084,251079,,
284757,277972,,
272049,272048,,
299998,299999,,
281971,281972,,
284369,284368,,
283498,283499,283500.0,
68211,68210,,
287777,287776,,
290638,277770,,
51394,51393,,
291510,291509,,
275270,275271,,
270360,270412,,
281843,63275,,
40632,40634,40633.0,
291979,291980,,
65143,65142,,
38384,38383,,
267522,267515,,
269754,269753,,
293879,293878,,
297685,297684,,
253551,253550,,
44704,44707,44705.0,
293914,293915,,
277593,277594,,
62256,62255,,
287943,287916,,
284192,284191,,
280765,280763,,
287805,287804,,
290072,290065,,
59587,270368,,
269353,269355,,
256449,256448,,
269240,269219,,
282952,282955,,
267482,267480,,
290167,291328,,
289928,289927,,
282871,282870,,
289012,289013,,
289788,289640,,
264701,264663,,
291703,291701,,
274004,274003,,
292266,292263,,
53239,53240,,
250530,250534,,
281355,281351,,
271975,271974,,
68217,68218,,
275668,275524,,
187027,60325,,
55881,262893,,
52719,52758,,
268406,268405,,
292104,292105,,
289947,271648,,
283303,283305,,
289124,289125,,
71510,71511,,
269940,54106,,
291669,291671,,
266007,266006,,
274279,274280,,
294422,294423,,
285032,285030,,
288971,288972,,
261197,261196,,
70128,70117,,
264746,264745,,
274009,274011,,
55899,55869,,
45902,45901,,
272033,272034,,
64580,64582,,
44874,44876,,
42388,42389,,
262437,262441,,
257288,257289,,
277936,277937,,
297716,297715,,
278553,278469,,
272994,272992,272993.0,
261911,262387,,
58348,58349,58451.0,
42085,42084,247703.0,
45189,45187,,
286279,286280,,
261480,261479,,
61316,61317,,
296712,296713,,
290197,290195,,
275404,275405,,
276740,276742,,
277785,277784,,
258232,258234,,
292392,292391,,
274033,274038,274032.0,
254343,254344,,
267505,267504,,
277087,277085,,
250996,251003,250993.0,
187363,187361,187362.0,
50007,50005,,
261411,261409,,
269143,278222,,
277151,277150,,
61666,61665,,
283874,283875,,
269708,269764,,
56873,56879,,
255478,255480,,
278788,278781,,
262020,262021,,
270518,270555,,
265958,265959,,
274696,274697,,
286875,285878,,
277322,277321,,
281161,65571,,
257270,257269,,
261050,261051,,
284908,284907,,
269546,269547,,
250787,250785,,
276620,276621,,
271679,271680,,
261501,261502,,
277638,277640,,
40684,40683,,
293804,293805,,
264387,264388,,
294433,294434,,
281741,281739,,
257004,257006,,
287001,287002,,
259426,259425,259424.0,
288612,288607,,
283589,283588,,
41032,41033,,
292496,292497,,
257230,257228,257229.0,
44794,44800,,
47479,47329,,
72205,72206,,
265531,265985,,
272204,272203,,
283085,283083,,
289864,289863,,
56375,272708,,
273772,273771,,
269548,265225,,
264799,264800,,
283988,283989,,
291003,291004,,
290172,290170,,
299011,299010,,
269119,277943,,
65702,65703,,
255246,255247,,
296481,296484,,
