5361,Gold,Adult,<1K,0,2020,11,1
6604,Gold,Adult,>1K,0,2021,2,1
6604,Gold,Adult,>1K,0,2021,7,1
6604,Gold,Adult,>1K,0,2020,12,1
6604,Gold,Adult,>1K,0,2021,5,1
6604,Gold,Adult,>1K,0,2021,8,1
6604,Gold,Adult,>1K,0,2021,9,1
6604,Gold,Adult,>1K,0,2021,10,1
6604,Gold,Adult,>1K,0,2021,1,3
6604,Gold,Adult,>1K,0,2021,4,1
7487,Gold,Adult,<1K,1,2020,12,1
7487,Gold,Adult,<1K,1,2021,4,2
7487,Gold,Adult,<1K,1,2021,7,1
7487,Gold,Adult,<1K,1,2021,3,1
7487,Gold,Adult,<1K,1,2021,10,2
7487,Gold,Adult,<1K,1,2021,8,1
7914,Gold,Adult,<1K,0,2020,11,1
7914,Gold,Adult,<1K,0,2021,1,2
7914,Gold,Adult,<1K,0,2021,6,1
8532,Gold,Adult,<1K,0,2021,2,1
8532,Gold,Adult,<1K,0,2020,11,1
8532,Gold,Adult,<1K,0,2021,1,1
8532,Gold,Adult,<1K,0,2021,5,1
9702,Gold,Adult,0,0,2020,11,2
9702,Gold,Adult,0,0,2021,4,1
9702,Gold,Adult,0,0,2021,10,1
9702,Gold,Adult,0,0,2021,3,1
9702,Gold,Adult,0,0,2021,9,1
9702,Gold,Adult,0,0,2021,2,1
9702,Gold,Adult,0,0,2021,7,1
9702,Gold,Adult,0,0,2021,8,1
9702,Gold,Adult,0,0,2021,5,1
9832,Gold,Adult,<1K,0,2021,2,1
9832,Gold,Adult,<1K,0,2020,11,1
9832,Gold,Adult,<1K,0,2021,10,1
9832,Gold,Adult,<1K,0,2021,8,1
9832,Gold,Adult,<1K,0,2021,6,5
9832,Gold,Adult,<1K,0,2021,4,1
11001,Silver,Adult,0,0,2020,11,3
11001,Silver,Adult,0,0,2021,3,1
11001,Crystal,Adult,<1K,1,2021,6,2
11001,Silver,Adult,0,0,2021,1,2
11001,Crystal,Adult,<1K,1,2021,8,2
11001,Crystal,Adult,<1K,1,2021,9,1
11099,Diamond,Adult,>1K,1,2021,3,1
11099,Diamond,Adult,>1K,1,2021,1,1
11099,Diamond,Adult,>1K,1,2021,8,1
11099,Diamond,Adult,>1K,1,2021,2,1
