4437,2001202637030807102,Diamond,Adult,>10K,1,2020,1,2
4550,0082021727022603014,Gold,Adult,0,0,2020,1,1
4596,0200701510011019250,Diamond,Adult,>10K,0,2020,1,2
4677,2802100404617200209,Silver,Adult,<1K,1,2019,12,1
4752,3010200670120345800,Gold,Adult,0,0,2020,1,1
4753,0841002530701025034,Gold,Adult,0,0,2020,1,1
4806,2803170800020225068,Gold,Adult,0,0,2020,1,1
4845,2711020002030230033,Gold,Adult,>1K,0,2020,1,1
5171,0012200303107861024,Diamond,Adult,>5K,1,2020,1,2
5179,0128120270200209248,Silver,Adult,<1K,0,2020,1,1
5180,1472822302000109203,Silver,Adult,>1K,0,2020,1,1
5257,1478130304000109203,Silver,Adult,0,0,2019,12,1
5307,4217030440220205106,Gold,Adult,>10K,0,2020,1,1
5357,5012809555007037019,Silver,Select,0,0,2019,12,1
5385,1121000290012040275,Gold,Adult,>1K,0,2020,1,3
5414,0009212007111205001,Gold,Adult,>1K,0,2019,12,1
5619,0200524317301408028,Gold,Adult,0,1,2020,1,1
5648,0014078311021044002,Gold,Adult,0,0,2020,1,1
5649,0072020710012155023,Gold,Adult,<1K,0,2020,1,1
5708,5002054510407814502,Silver,Adult,0,0,2020,1,1
5794,7001128010201089106,Gold,Adult,<1K,0,2020,1,1
5851,2417040430230205101,Gold,Adult,<1K,1,2020,1,1
5955,0728100520012203024,Gold,Adult,>5K,1,2020,1,1
6041,0043431102107405105,Silver,Adult,0,0,2020,1,2
6072,0302200413500022176,Gold,Adult,<1K,0,2019,12,1
6078,0307000012212238038,Gold,Adult,0,0,2020,1,1
6108,8210200621607408026,Gold,Adult,>1K,1,2020,1,1
6111,1150201902201071020,Gold,Adult,>1K,0,2020,1,1
6141,3200015526071021208,Gold,Adult,<1K,0,2020,1,1
6208,2110000020622204975,Gold,Adult,<1K,0,2020,1,1
6318,8000163703117206007,Gold,Select,<1K,0,2020,1,2
6390,7001110623730003222,Gold,Select,0,0,2020,1,1
6414,0758300812010037297,Gold,Adult,<1K,0,2020,1,1
6427,8007010108001116017,Diamond,Adult,>1K,1,2020,1,1
6452,1517300808016111002,Gold,Select,0,0,2020,1,1
6513,3401750800805103522,Gold,Select,0,0,2020,1,1
6540,9027020101001116017,Gold,Adult,>5K,1,2020,1,1
6612,2841002530701055054,Silver,Select,<1K,0,2020,1,1
6680,2002712504017026042,Gold,Adult,>3K,1,2020,1,2
6699,0021124102107205701,Gold,Adult,>1K,1,2019,12,1
6727,0772102624002190005,Silver,Adult,<1K,0,2020,1,1
6751,0501100471800122177,Gold,Adult,0,0,2020,1,1
6869,1100074205225088502,Gold,Adult,>3K,1,2020,1,2
6898,2201710800801103223,Gold,Adult,>3K,1,2020,1,2
6911,0008212007261215000,Gold,Adult,<1K,0,2020,1,1
6948,0010108241002116747,Gold,Adult,0,1,2019,12,1
6949,1100842310710406101,Gold,Adult,>1K,1,2020,1,1
6959,1130921940700010009,Silver,Adult,>1K,0,2020,1,1
6993,1007268311000010449,Silver,Adult,<1K,1,2019,12,1
7029,0021726102107205604,Gold,Adult,>1K,1,2020,1,4
7061,0916072322021044001,Gold,Adult,<1K,0,2020,1,1
7151,2117030410250005100,Diamond,Adult,>1K,0,2020,1,1
7184,5014504950010036070,Silver,Adult,0,1,2020,1,1
7222,0300621327301008033,Gold,Adult,>1K,0,2020,1,1
7225,7511000410081128068,Gold,Adult,0,0,2020,1,2
7226,0211010602500772219,Gold,Adult,>1K,1,2020,1,1
7228,3020541920770020006,Gold,Adult,0,0,2019,12,1
7245,0072030740615185034,Silver,Select,0,0,2020,1,1
7263,0047110910812253001,Gold,Adult,<1K,0,2020,1,2
7273,4010210980132009725,Gold,Adult,0,0,2020,1,1
7374,8541702400102103106,Gold,Adult,<1K,0,2020,1,1
